sample_index,xi_norm2,radius_percentile,occurrence_likelihood,likelihood_rank,opacity_weight,log10_opacity_weight,compliance,compliance_percentile,compliance_z,is_tail_95
47,3.1073980793e+01,2.5756958895e-01,7.4243041105e-01,30,1.7855198179e-03,-2.7482353251e+00,1.6000396631e-01,5.8000000000e-01,2.3163025094e-01,0
48,3.8768703040e+01,6.1015154480e-01,3.8984845520e-01,69,3.8095788695e-05,-4.4191230308e+00,1.7251373018e-01,9.6000000000e-01,1.8305738480e+00,1
49,2.0979195820e+01,1.5814423304e-02,9.8418557670e-01,4,2.7785574447e-01,-5.5618062006e-01,1.5882429311e-01,5.3000000000e-01,8.0849554406e-02,0
50,4.4890213575e+01,8.2521007923e-01,1.7478992077e-01,89,1.7848751623e-06,-5.7483921539e+00,1.4405378694e-01,2.0000000000e-02,-1.8070522887e+00,0
51,3.0336065362e+01,2.2724592125e-01,7.7275407875e-01,26,2.5822659874e-03,-2.5879990251e+00,1.6703806429e-01,8.9000000000e-01,1.1306980546e+00,0
52,2.1938634127e+01,2.3429733862e-02,9.7657026614e-01,5,1.7198081343e-01,-7.6452000127e-01,1.6631858846e-01,8.8000000000e-01,1.0387377839e+00,0
53,3.0595917982e+01,2.3774445713e-01,7.6225554287e-01,28,2.2676430608e-03,-2.6444253047e+00,1.5935271005e-01,5.5000000000e-01,1.4838950892e-01,0
54,3.1195517134e+01,2.6270916542e-01,7.3729083458e-01,32,1.6802480259e-03,-2.7746266062e+00,1.5253982552e-01,2.6000000000e-01,-7.2240375386e-01,0
55,3.5406532982e+01,4.5616979873e-01,5.4383020127e-01,54,2.0462699236e-04,-3.6890370790e+00,1.5161578594e-01,2.0000000000e-01,-8.4051047316e-01,0
56,2.2934024829e+01,3.3990605617e-02,9.6600939438e-01,6,1.0455231514e-01,-9.8066634600e-01,1.5630508765e-01,4.8000000000e-01,-2.4114432829e-01,0
57,2.9048631358e+01,1.7846012667e-01,8.2153987333e-01,22,4.9154549115e-03,-2.3084362832e+00,1.6098471319e-01,6.4000000000e-01,3.5698505064e-01,0
58,3.3943582586e+01,3.8688617144e-01,6.1311382856e-01,45,4.2524436079e-04,-3.3713614369e+00,1.5317548118e-01,2.9000000000e-01,-6.4115701267e-01,0
59,3.9088852857e+01,6.2386207285e-01,3.7613792715e-01,71,3.2460658048e-05,-4.4886426803e+00,1.5174663280e-01,2.1000000000e-01,-8.2378619674e-01,0
60,5.4014470895e+01,9.6498285088e-01,3.5017149123e-02,96,1.8633761963e-08,-7.7296994567e+00,1.6352027272e-01,7.9000000000e-01,6.8106923941e-01,0
61,4.0146238533e+01,6.6746584578e-01,3.3253415422e-01,77,1.9131496274e-05,-4.7182510625e+00,1.6611881233e-01,8.7000000000e-01,1.0132032680e+00,0
62,3.0180835228e+01,2.2107280914e-01,7.7892719086e-01,24,2.7906718410e-03,-2.5542912298e+00,1.6046673258e-01,6.2000000000e-01,2.9077902242e-01,0
63,3.6792047944e+01,5.2129874945e-01,4.7870125055e-01,60,1.0235337544e-04,-3.9898978305e+00,1.6207539432e-01,6.9000000000e-01,4.9639116792e-01,0
64,3.0311735740e+01,2.2627344647e-01,7.7372655353e-01,25,2.6138706070e-03,-2.5827159149e+00,1.6331941124e-01,7.8000000000e-01,6.5539599884e-01,0
65,4.1361236819e+01,7.1402999604e-01,2.8597000396e-01,80,1.0421144360e-05,-4.9820845880e+00,1.6123647887e-01,6.6000000000e-01,3.8916464461e-01,0
66,6.2911662150e+01,9.9503353653e-01,4.9664634659e-03,98,2.1792146511e-10,-9.6616999899e+00,1.8564563177e-01,1.0000000000e+00,3.5090363821e+00,1
67,1.9157443035e+01,6.7454264215e-03,9.9325457358e-01,1,6.9088851120e-01,-1.6059202915e-01,1.6578232762e-01,8.4000000000e-01,9.7019525620e-01,0
68,4.0298259379e+01,6.7350765457e-01,3.2649234543e-01,78,1.7731195992e-05,-4.7512619697e+00,1.5573476269e-01,4.3000000000e-01,-3.1404078361e-01,0
69,3.7263016220e+01,5.4302357411e-01,4.5697642589e-01,64,8.0878429195e-05,-4.0921672921e+00,1.6110333994e-01,6.5000000000e-01,3.7214740576e-01,0
70,4.2350044202e+01,7.4887716013e-01,2.5112283987e-01,83,6.3562155572e-06,-5.1968013831e+00,1.5161183523e-01,1.9000000000e-01,-8.4101543573e-01,0
71,6.5596734664e+01,9.9741062457e-01,2.5893754313e-03,99,5.6917251725e-11,-1.0244756078e+01,1.6938549773e-01,9.5000000000e-01,1.4307367849e+00,0
