WARNING:src.config.loader:optimization.lambda_sweep has only 3 points. That is enough to compare designs but too few to present as a Pareto front.
INFO:src.meshing.box_source:Traction patch: half-width 0.9375 (auto max(0.5, 1.5h)), area 1.5625, traction_z -0.2048 (total force 0.32 held fixed across refinement levels)
INFO:src.meshing.box_source:Built box-mesh fenitop dicts (beam_3d.py reference): cell_type=tetrahedron, domain=[[0, 0, 0], [10, 30, 10]], refinement=0.64 -> elements=[16, 48, 16], h=0.625, R=0.6 (R/h=0.96, FIXED across levels), E=100, nu=0.25, vol_frac=0.08
WARNING:src.fenitop.topopt:No 'solid' cell_tags/solid_tag found in fem dict -- bolt/mount regions will NOT be hard-pinned to solid density. This mirrors the exact bug that caused bolt bosses to be optimized away; check fenitop_adapter.py wires cell_tags + solid_tag through.
opt_iter: 59, opt_time: 0.105 (s), beta: 2, C: 0.411, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 60: max |u| over all load cases = 1.535934e+00 m (1535.933760 mm)
opt_iter: 60, opt_time: 0.107 (s), beta: 2, C: 0.407, V: 0.080, U: 0.000, change: 0.020
opt_iter: 61, opt_time: 0.103 (s), beta: 2, C: 0.403, V: 0.080, U: 0.000, change: 0.020
opt_iter: 62, opt_time: 0.0992 (s), beta: 2, C: 0.400, V: 0.080, U: 0.000, change: 0.020
opt_iter: 63, opt_time: 0.1 (s), beta: 2, C: 0.397, V: 0.080, U: 0.000, change: 0.020
opt_iter: 64, opt_time: 0.103 (s), beta: 2, C: 0.394, V: 0.080, U: 0.000, change: 0.020
opt_iter: 65, opt_time: 0.115 (s), beta: 2, C: 0.391, V: 0.080, U: 0.000, change: 0.020
opt_iter: 66, opt_time: 0.103 (s), beta: 2, C: 0.389, V: 0.080, U: 0.000, change: 0.020
opt_iter: 67, opt_time: 0.0991 (s), beta: 2, C: 0.387, V: 0.080, U: 0.000, change: 0.020
opt_iter: 68, opt_time: 0.1 (s), beta: 2, C: 0.385, V: 0.080, U: 0.000, change: 0.020
opt_iter: 69, opt_time: 0.101 (s), beta: 2, C: 0.383, V: 0.080, U: 0.000, change: 0.020
  [diag] opt_iter 70: max |u| over all load cases = 1.457891e+00 m (1457.890852 mm)
opt_iter: 70, opt_time: 0.103 (s), beta: 2, C: 0.382, V: 0.080, U: 0.000, change: 0.020
opt_iter: 71, opt_time: 0.102 (s), beta: 2, C: 0.380, V: 0.080, U: 0.000, change: 0.020
opt_iter: 72, opt_time: 0.0967 (s), beta: 2, C: 0.379, V: 0.080, U: 0.000, change: 0.020
opt_iter: 73, opt_time: 0.0977 (s), beta: 2, C: 0.378, V: 0.080, U: 0.000, change: 0.020
opt_iter: 74, opt_time: 0.102 (s), beta: 2, C: 0.377, V: 0.080, U: 0.000, change: 0.020
opt_iter: 75, opt_time: 0.102 (s), beta: 2, C: 0.376, V: 0.080, U: 0.000, change: 0.020
opt_iter: 76, opt_time: 0.0983 (s), beta: 2, C: 0.375, V: 0.080, U: 0.000, change: 0.020
opt_iter: 77, opt_time: 0.0974 (s), beta: 2, C: 0.375, V: 0.080, U: 0.000, change: 0.020
opt_iter: 78, opt_time: 0.0974 (s), beta: 2, C: 0.374, V: 0.080, U: 0.000, change: 0.020
